Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
1395,'CRHR2',0.02,0.04,0.0,0.02,0.0,0.03,0.04,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.04,0.0,0.24,0.0,0.0,0.04,0.0,0.0,0.03,0.11,0.07,0.02
139562,'OTUD6A',0.0,0.22,0.0,0.1,0.07,0.07,0.0,0.12,0.13,0.27,0.07,0.0,0.0,0.19,0.08,0.14,0.25,0.38,0.13,0.0,0.11,0.0,0.28,0.18,0.67,0.26
139596,'UPRT',13.48,5.16,9.89,8.21,6.18,9.28,13.42,11.87,11.41,10.62,8.09,17.93,8.8,14.65,17.16,14.68,9.36,11.3,11.75,10.51,13.05,6.23,2.02,6.76,3.15,4.36
1396,'CRIP1',858.53,369.88,600.63,740.16,738.46,990.5,596.17,625.01,681.5,522.93,929.89,253.0,303.51,307.47,579.95,546.48,932.34,653.92,440.71,719.51,506.62,772.66,340.5,542.26,460.97,392.91
1397,'CRIP2',34.23,16.67,21.57,10.81,34.26,37.36,61.8,43.75,91.6,47.63,3.82,7.37,3.14,1.53,6.14,2.22,7.64,4.35,7.92,6.97,14.89,6.75,7.45,7.28,22.35,8.83
139716,'GAB3',26.7,31.52,51.25,47.79,40.02,34.38,42.52,39.74,28.56,38.19,31.53,23.74,29.69,25.85,15.09,13.72,3.77,9.25,39.6,11.05,39.32,20.96,30.85,18.25,12.17,17.09
139735,'ZFP92',0.8,1.04,1.03,1.72,0.6,0.65,1.15,1.59,0.6,0.95,1.11,1.42,1.21,1.85,0.7,0.94,0.44,0.53,1.52,0.8,1.54,0.9,1.15,1.21,0.52,0.31
1398,'CRK',21.36,20.79,19.08,14.52,13.42,22.15,15.05,15.4,10.35,10.53,24.94,21.06,19.43,16.97,19.21,13.39,10.62,13.66,23.62,11.82,22.76,8.93,14.64,14.04,4.56,7.1
139818,'DOCK11',78.46,49.34,62.11,51.65,37.99,37.57,83.06,85.33,47.5,51.64,76.86,70.59,55.63,73.1,71.42,52.3,21.06,55.78,68.75,48.73,74.08,41.15,29.47,49.69,15.79,30.11
139886,'SPIN4',2.53,1.37,1.86,2.24,1.95,1.67,2.75,2.52,2.12,2.93,3.34,1.77,1.37,3.32,3.16,2.19,1.78,2.32,2.53,1.88,2.98,1.38,0.49,2.34,0.89,1.14
1399,'CRKL',42.35,30.45,32.1,25.51,25.74,23.88,45.86,40.45,30.95,31.05,37.5,48.27,37.86,38.17,38.21,32.64,21.05,30.42,49.63,29.45,40.71,17.28,16.61,29.15,8.87,20.86
14,'AAMP',64.86,35.92,53.33,59.89,41.6,42.31,56.59,64.92,30.38,37.08,50.36,85.7,45.13,69.38,66.98,68.67,75.58,63.2,53.82,65.98,60.32,51.12,23.4,48.42,22.45,30.41
140,'ADORA3',2.72,1.1,0.5,0.86,0.5,0.37,1.47,1.06,0.47,0.53,0.66,2.78,4.61,1.23,2.5,0.91,0.36,1.08,6.13,0.44,5.19,2.16,5.41,0.79,0.0,1.26
1400,'CRMP1',0.0,0.04,0.0,0.05,0.3,0.57,0.08,0.0,0.16,0.0,0.18,0.0,0.04,0.12,0.0,0.0,0.36,0.0,0.06,0.05,0.0,0.2,0.0,0.0,0.04,0.01
140290,'TCP10L',0.08,0.08,0.0,0.28,0.0,0.31,0.25,0.11,0.16,0.0,0.0,0.05,0.0,0.38,0.13,0.24,0.44,0.0,0.22,0.52,0.17,0.03,0.16,0.0,0.0,0.13
140456,'ASB11',0.04,0.0,0.0,0.0,0.19,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.05,0.0,0.5,0.0,0.05,0.1,0.0,0.05,0.04,0.0,0.14,0.09
140459,'ASB6',14.43,16.05,18.3,14.1,15.74,13.41,20.41,17.01,17.49,20.21,15.57,11.83,14.63,15.73,13.8,12.05,12.12,10.48,19.89,12.75,16.08,14.23,11.18,13.38,14.33,15.21
140460,'ASB7',12.63,8.9,10.26,7.39,7.95,8.27,13.98,14.45,10.67,10.13,10.44,14.33,10.12,14.28,14.45,11.23,6.5,11.39,12.68,11.43,12.97,8.1,6.46,8.76,4.65,8.16
140461,'ASB8',30.83,20.23,25.22,21.72,17.03,18.8,34.61,34.23,16.49,18.55,33.5,33.54,27.96,37.19,37.48,37.72,34.28,39.21,38.65,34.36,33.1,26.25,16.7,32.05,13.47,23.01
140462,'ASB9',0.46,0.28,0.56,0.31,0.13,0.46,0.21,0.27,0.38,0.13,0.4,0.81,0.2,0.4,0.16,0.27,0.73,0.46,0.64,0.34,0.37,0.17,0.77,0.18,0.07,0.48
140465,'MYL6B',5.42,3.7,4.87,7.15,5.41,9.33,0.99,4.48,3.57,6.47,30.64,11.63,9.61,19.12,35.77,24.98,40.63,33.31,12.03,46.53,7.78,30.12,4.3,35.57,13.08,18.25
140467,'ZNF358',23.14,32.51,18.36,26.13,30.62,27.19,21.32,21.72,19.0,22.84,8.3,8.34,20.96,3.32,8.96,2.62,10.12,4.0,18.59,8.31,14.5,20.67,25.58,15.51,10.92,16.67
140469,'MYO3B',0.2,0.07,0.77,0.2,0.34,0.96,0.8,0.2,0.34,0.58,0.31,0.14,0.12,0.22,0.19,0.2,0.08,0.11,0.33,0.23,0.33,0.22,0.04,0.02,0.08,0.1
140545,'RNF32',0.74,0.68,0.41,0.68,0.99,0.58,0.89,0.45,1.02,0.23,0.5,0.83,0.56,1.65,2.7,2.54,1.75,1.36,0.67,3.34,0.49,0.5,0.21,1.34,0.87,0.63
140564,'APOBEC3D',21.74,9.84,14.8,19.77,19.67,18.75,25.6,25.19,11.35,12.7,31.53,14.48,25.39,28.45,45.38,22.15,36.95,30.86,28.03,30.86,26.39,38.5,6.09,50.4,21.15,22.62
140578,'CHODL',0.2,0.0,0.09,0.11,0.11,0.25,0.18,0.33,0.21,0.13,0.28,0.46,0.22,1.15,1.66,2.41,0.76,0.88,0.24,1.16,0.54,0.44,0.0,1.74,0.15,0.1
